课程名称	均分	最高分	课程代码
产业组织理论（A类）	/2015-2016-1	87.19	94.00
药学文献检索	/2015-2016-1	87.18	90.00
基础日语(下)	/2014-2015-2	87.16	96.00
专题设计（1）	/2014-2015-1	87.16	93.00
数字信号处理（A类）	/2015-2016-1	87.15	100.00
数据库（C类）	/2015-2016-1	87.14	95.00
初级汉语口语（1）	/2015-2016-1	87.14	94.00
国际经济法	/2014-2015-1	87.12	93.00
摄影基础（B类）	/2015-2016-1	87.12	95.00
脑与日常行为	/2015-2016-1	87.09	96.00
法理学	/2014-2015-1	87.09	99.00
物流与供应链管理	/2014-2015-2	87.08	93.00
会计学	/2014-2015-1	87.07	100.00
侵权法	/2014-2015-1	87.07	99.00
经济与社会伦理	/2014-2015-2	87.06	95.00
基础日语(下)	/2014-2015-1	87.05	98.00
花卉应用学	/2014-2015-2	87.05	97.00
生物化学（B类）（1）	/2015-2016-1	87.03	98.00
操作系统课程设计	/2014-2015-2	87.01	100.00
学术英语交际	/2014-2015-2	87.00	95.00
宇宙与人类	/2015-2016-1	86.98	98.00
市场调研	/2015-2016-2	86.95	93.00
物理学引论（A类）（1）	/2015-2016-1	86.94	100.00
大国战略	/2014-2015-1	86.94	91.00
药物发展——延续生命的奥秘	/2015-2016-2	86.94	96.00
现代医学导论	/2014-2015-2	86.92	95.00
20世纪中国文学名著欣赏	/2014-2015-2	86.92	93.00
电力电子技术	/2015-2016-2	86.90	96.00
管理学原理（D类）	/2014-2015-1	86.88	96.00
风景写生（A类）	/2014-2015-1	86.86	93.00
空气动力学（2）	/2014-2015-1	86.86	94.00
编译原理（A类）	/2015-2016-1	86.85	99.00
20世纪中国文学名著欣赏	/2015-2016-2	86.85	92.00
模式识别导论	/2015-2016-1	86.82	94.00
程序设计	/2014-2015-1	86.82	99.00
量子波澜：历史与概念	/2014-2015-2	86.82	92.00
脑与日常行为	/2014-2015-1	86.82	96.00
中国现代诗歌导读	/2014-2015-2	86.81	95.00
植物育种学原理	/2015-2016-1	86.81	96.00
物理学研究导论I	/2014-2015-1	86.80	95.00
胡适与中西文化	/2014-2015-1	86.80	92.00
生物信息学概论	/2015-2016-1	86.78	98.00
植物生理学实验	/2014-2015-2	86.78	93.00
交响音乐鉴赏	/2015-2016-1	86.76	99.00
学术英语交际:写作与发言	/2015-2016-2	86.76	95.00
信息论与编码	/2015-2016-1	86.75	99.00
无机合成	/2014-2015-1	86.75	93.00
日常生活中的心理学	/2014-2015-1	86.75	91.00
土壤与植物营养实验	/2014-2015-1	86.70	92.00
计算导论	/2014-2015-1	86.68	96.00
比较文学概论（A类）	/2015-2016-1	86.68	93.00
组织文化研究	/2015-2016-1	86.65	94.00
形象思维与工程语言	/2014-2015-1	86.64	98.00
编译原理与技术	/2014-2015-1	86.64	95.00
数据库基础及SAS应用	/2015-2016-1	86.62	98.00
体育（3）	/2014-2015-1	86.62	100.00
环境生物技术	/2014-2015-1	86.61	92.00
遗传学（A类）	/2015-2016-1	86.60	96.00
辐射及应用	/2014-2015-2	86.58	100.00
神奇的蘑菇	/2015-2016-2	86.57	94.00
数据库（C类）	/2014-2015-1	86.56	97.00
动物生物技术概论	/2015-2016-2	86.56	97.00
《庄子》选讲	/2014-2015-1	86.54	94.00
计量经济学	/2014-2015-2	86.54	94.00
古典诗文名篇选读	/2015-2016-2	86.53	93.00
高分子化学	/2015-2016-1	86.53	99.00
细胞生物学（B类）	/2014-2015-2	86.52	98.00
生物信息学（A类）	/2014-2015-1	86.52	97.00
大学生健康导论	/2015-2016-2	86.51	100.00
测控技术II	/2015-2016-2	86.50	99.00
生物力学	/2014-2015-1	86.50	95.00
汉语阅读（1）	/2015-2016-1	86.50	97.00
